1,2,Falcons/Panthers U 39.5,weekly,10000,-110,9091,hit,1,2023-09-08 03:30:27,2023-09-11 04:09:22
2,2,Steelers +2.5,weekly,10000,-110,9091,miss,1,2023-09-08 03:30:27,2023-09-11 04:09:23
3,2,Chiefs/Lions U 52.5,weekly,10000,-110,9091,hit,1,2023-09-08 03:30:27,2023-09-09 22:21:08
4,2,Anthony Richardson Anytime TD,weekly,10000,180,18000,hit,1,2023-09-08 03:30:27,2023-09-11 04:09:42
5,2,Titans +3,weekly,10000,-105,9524,hit,1,2023-09-08 03:30:27,2023-09-11 04:09:45
6,2,Patriots/Eagles U 45,weekly,10000,-114,8772,push,1,2023-09-08 03:30:27,2023-09-11 04:09:52
7,2,Packers to Win,weekly,10000,100,10000,hit,1,2023-09-08 03:30:27,2023-09-11 04:09:57
8,2,Jets/Bills U 46.5,weekly,10000,-115,8696,hit,1,2023-09-08 03:30:27,2023-09-12 19:07:46
9,2,Anytime TD: Dameon Pierce | Odell Beckham Jr. ,weekly,10000,926,92600,miss,1,2023-09-08 03:30:27,2023-09-11 04:10:02
10,2,Lowest Scoring Game: Cards/Commanders,weekly,5000,600,30000,miss,1,2023-09-08 03:30:27,2023-09-11 04:10:20
11,2,Lowest Scoring Team: Cardinals,weekly,5000,700,35000,miss,1,2023-09-08 03:30:27,2023-09-11 04:10:23
12,2,"Make Playoffs: Saints, Vikings, Titans",futures,10000,787,78700,,1,2023-09-08 03:30:27,2023-09-08 03:30:27
13,2,"1000+ yds: Tyler Lockett, George Pickens, Terry McLaurin",futures,10000,2856,285600,,1,2023-09-08 03:30:27,2023-09-08 03:30:27
14,2,NFC South Exact Order: Saints/Falcons/Bucs/Panthers,futures,5000,1100,55000,,1,2023-09-08 03:30:27,2023-09-08 03:30:27
15,2,AFC Wildcard: Titans,futures,5000,850,42500,,1,2023-09-08 03:30:27,2023-09-08 03:30:27
16,2,AFC Wildcard: Jaguars,futures,5000,850,42500,,1,2023-09-08 03:30:27,2023-09-08 03:30:27
17,2,MVP: Jalen Hurts,futures,5000,1200,60000,,1,2023-09-08 03:30:27,2023-09-08 03:30:27
18,3,Detroit/Kansas City U 54.5,weekly,10000,-115,8696,hit,1,2023-09-09 22:18:45,2023-09-11 03:54:18
19,3,Carolina/Atlanta U 39.5,weekly,10000,-110,9091,hit,1,2023-09-09 22:18:45,2023-09-11 03:54:32
20,3,Cincinnati/Cleveland U 47.5,weekly,10000,-110,9091,hit,1,2023-09-09 22:18:45,2023-09-11 03:54:36
21,3,Washington/Arizona U 38.5,weekly,10000,-110,9091,hit,1,2023-09-09 22:18:45,2023-09-11 03:54:43
22,3,Tennessee/ New Orleans U 41.5,weekly,10000,-110,9091,hit,1,2023-09-09 22:18:45,2023-09-11 03:54:48
23,3,Jacksonville/Indy U 45.5,weekly,10000,-110,9091,miss,1,2023-09-09 22:18:45,2023-09-11 03:54:56
24,3,LA Rams/Seattle U 45.5,weekly,10000,-110,9091,hit,1,2023-09-09 22:18:45,2023-09-11 03:55:10
25,3,Vegas/Denver U 44,weekly,10000,-110,9091,hit,1,2023-09-09 22:18:45,2023-09-11 03:55:14
26,3,Green Bay/Chicago U 43.5,weekly,10000,-110,9091,miss,1,2023-09-09 22:18:45,2023-09-11 03:55:25
27,3,Dallas/New York U 46.5,weekly,10000,-110,9091,hit,1,2023-09-09 22:18:45,2023-09-11 03:55:43
28,3,Arizona U 4.5 Wins,futures,10000,-142,7042,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
29,3,Worst Regular Season Record: Arizona,futures,10000,250,25000,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
30,3,Any Team to go 0-17: YES,futures,5000,1000,50000,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
31,3,Most Receiving Yds ( O 1964.5): YES,futures,5000,430,21500,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
32,3,Josh Allen 35+ Regular Season TDs,futures,10000,135,13500,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
33,4,MVP: Justin Herbert,futures,20000,900,180000,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
34,4,Herbert 30+ Passing TDs,futures,20000,-165,12121,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
35,4,Lions to Win,weekly,20000,220,44000,hit,1,2023-09-09 22:18:45,2023-09-11 04:10:33
36,4,Browns +2.5,weekly,20000,-110,18182,hit,1,2023-09-09 22:18:45,2023-09-11 04:10:36
37,4,Colts +4.5,weekly,20000,-106,18868,miss,1,2023-09-09 22:18:45,2023-09-11 04:10:45
38,4,Giants +3.5,weekly,20000,-115,17391,miss,1,2023-09-09 22:18:45,2023-09-11 04:10:48
39,4,Jets +2.5,weekly,20000,-110,18182,hit,1,2023-09-09 22:18:45,2023-09-12 19:01:54
40,5,"1000+ Yards: Amon-Ra St. Brown, Terry McLaurin",futures,20000,323,64600,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
41,5,NFC Wildcard: Packers,futures,10000,360,36000,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
42,5,"10+ Wins on the Season: Steelers, Saints",futures,10000,383,38300,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
43,5,Packers to Win,weekly,10000,100,10000,hit,1,2023-09-09 22:18:45,2023-09-11 04:10:51
44,5,Lamar to Score 2 TDs,weekly,10000,490,49000,miss,1,2023-09-09 22:18:45,2023-09-11 04:11:38
45,5,Mark Andrews to score 2 TDs,weekly,10000,800,80000,miss,1,2023-09-09 22:18:45,2023-09-11 04:10:56
46,5,Mahomes O 2.5 Passing TDs,weekly,25000,126,31500,miss,1,2023-09-09 22:18:45,2023-09-11 04:10:56
47,5,Mahomes 4+ Passing TDs,weekly,10000,500,50000,miss,1,2023-09-09 22:18:45,2023-09-11 04:10:58
48,5,"Mahomes O 2.5 Passing TDs, Goff O 1.5 Passing TDs",weekly,25000,276,69000,miss,1,2023-09-09 22:18:45,2023-09-11 04:11:00
49,7,MVP: Jalen Hurts,futures,5000,1200,60000,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
50,7,Steelers O 8.5 Wins,futures,10000,-150,6667,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
51,7,Buccaneers U 6.5 Wins,futures,7500,-142,5282,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
52,7,Panthers U 7.5 wins,futures,5000,-122,4098,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
53,7,Lamar Jackson O 3350.5 Passing Yds,futures,10000,-112,8929,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
54,7,DROY: Christian Gonzalez,futures,2500,1400,35000,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
55,7,Jacksonville -4.5,weekly,30000,-114,26316,hit,1,2023-09-09 22:18:45,2023-09-11 03:32:10
56,7,Philadelphia -3.5,weekly,15000,-115,13043,hit,1,2023-09-09 22:18:45,2023-09-11 03:32:48
57,7,Anytime TD: Diontae Johnson,weekly,5000,310,15500,miss,1,2023-09-09 22:18:45,2023-09-11 03:34:31
58,7,"Anytime TD: Isiah Pacheco, Amon-Ra St. Brown, David Montgomery",weekly,20000,919,183800,miss,1,2023-09-09 22:18:45,2023-09-11 03:33:17
59,7,First TD of game: Jalen Hurts,weekly,5000,700,35000,miss,1,2023-09-09 22:18:45,2023-09-11 03:33:16
60,7,Niners/Steelers O 40.5,weekly,15000,-110,13636,miss,1,2023-09-09 22:18:45,2023-09-11 03:34:14
61,7,Houston/Baltimore U 44,weekly,10000,-110,9091,hit,1,2023-09-09 22:18:45,2023-09-11 03:34:42
62,6,Packers to score 1+ TD in every Regular Season Game,futures,5000,280,14000,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
63,6,Chargers NOT to make the playoffs,futures,5000,104,5200,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
64,6,TJ Watt +15 Sacks,futures,2500,175,4375,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
65,6,Dallas Cowboys U 9.5 Wins,futures,2500,132,3300,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
66,6,Buccaneers U 3.5 Wins,futures,2500,410,10250,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
67,6,Aaron Rodgers 30+ TDs,futures,2500,125,3125,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
68,6,Derrick Henry + 1675 Rushing Yds,futures,2500,870,21750,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
69,6,Deebo Samuel +1250 Receiving Yds,futures,2500,1000,25000,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
70,6,Bears U 7.5 wins,futures,2500,100,2500,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
71,6,New Orleans to win division,futures,2500,130,3250,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
72,6,Packers O 7.5 wins,futures,2500,-150,1667,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
73,6,Most Regular Season Rushing TDs: Bijan Robinson,futures,2500,1200,30000,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
74,6,New York Giants to make the playoffs,futures,2500,172,4300,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
75,6,Detroit to score 1+ Rushing TD in every game,futures,2500,6000,150000,,1,2023-09-09 22:18:45,2023-09-09 22:18:45
76,6,McCaffery and Deebo to combine for +200 Rushing and Receiving Yards,weekly,10000,200,20000,miss,1,2023-09-09 22:18:45,2023-09-11 03:58:33
77,6,Commanders -7,weekly,10000,-355,2817,miss,1,2023-09-09 22:18:45,2023-09-11 03:58:43
78,6,Green Bay/Chicago O 41.5,weekly,10000,-110,9091,hit,1,2023-09-09 22:18:45,2023-09-11 03:58:50
79,6,Buffalo/New York Jets O 45.5,weekly,10000,-105,9524,miss,1,2023-09-09 22:18:45,2023-09-12 19:07:48
80,6,Steelers +2.5,weekly,10000,-112,8929,miss,1,2023-09-09 22:18:45,2023-09-11 03:58:55
81,6,LA Chargers/Miami O 50.5,weekly,10000,-105,9524,hit,1,2023-09-09 22:18:45,2023-09-11 03:59:11
82,6,Giants +3.5,weekly,10000,-115,8696,miss,1,2023-09-09 22:18:45,2023-09-11 03:59:14
83,6,Bengals to Win,weekly,10000,-126,7937,miss,1,2023-09-09 22:18:45,2023-09-11 03:59:17
84,6,Jacksonville -4.5,weekly,10000,-115,8696,hit,1,2023-09-09 22:18:45,2023-09-11 03:59:21
85,6,Baker Mayfield 250+ Passing Yds,weekly,1000,144,1440,miss,1,2023-09-09 22:18:45,2023-09-11 03:59:40
86,6,Anthony Richardson O 1.5 Passing TDs,weekly,1000,182,1820,miss,1,2023-09-09 22:18:45,2023-09-11 03:59:56
87,6,Jalen Hurts O 1.5 Passing TDs,weekly,1000,154,1540,miss,1,2023-09-09 22:18:45,2023-09-11 04:00:06
88,6,Jordan Love O 1.5 Passing TDs,weekly,2000,134,2680,hit,1,2023-09-09 22:18:45,2023-09-11 04:00:26
89,6,AJ Dillon O 43.5 Rushing Yards,weekly,1000,-114,877,miss,1,2023-09-09 22:18:45,2023-09-11 04:00:37
90,6,Anytime TD: Tyreek Hill,weekly,1000,105,1050,hit,1,2023-09-09 22:18:45,2023-09-11 04:00:40
91,6,Anytime TD: DK Metcalf,weekly,1000,125,1250,hit,1,2023-09-09 22:18:45,2023-09-11 04:00:54
92,6,Anytime TD: Davante Adams,weekly,1000,130,1300,miss,1,2023-09-09 22:18:45,2023-09-11 04:01:07
93,6,"Each Team To Score 1+ Passing TD in 1pm, 4:05pm, and 4:25pm games",weekly,1000,5000,50000,miss,1,2023-09-09 22:18:45,2023-09-11 04:01:38
94,5,Titans to Win,weekly,10000,134,13400,miss,1,2023-09-11 02:17:41,2023-09-11 04:11:02
95,7,Kansas City -3 ,weekly,30000,-110,27273,hit,2,2023-09-12 22:39:24,2023-09-18 22:05:40
96,7,Las Vegas + 9.5,weekly,10000,-110,9091,miss,2,2023-09-12 22:39:24,2023-09-18 22:05:52
97,7,Niners/ Rams O 44,weekly,10000,-110,9091,hit,2,2023-09-12 22:39:24,2023-09-18 22:05:59
98,7,Jalen Carter & Will Anderson to both record 1+ Full Sack,weekly,10000,950,95000,miss,2,2023-09-12 22:39:24,2023-09-17 01:03:53
99,7,"Eagles to win, U 48.5, Anytime TD: Jefferson, Hurts",weekly,20000,1423,284600,miss,2,2023-09-12 22:39:24,2023-09-17 01:00:10
100,7,Bears/Bucs U 41.5,weekly,10000,-110,9091,miss,2,2023-09-12 22:39:24,2023-09-18 22:06:11
101,7,Saints -3,weekly,10000,-120,8333,push,2,2023-09-12 22:39:24,2023-09-19 02:52:01
102,4,Bills/Raiders U 47,weekly,12500,-115,10870,miss,2,2023-09-16 21:52:29,2023-09-18 22:11:46
103,4,Colts to Win,weekly,12500,102,12750,hit,2,2023-09-16 21:52:29,2023-09-18 22:11:47
104,4,Jets/Cowboys U 39.5,weekly,12500,-110,11364,miss,2,2023-09-16 21:52:29,2023-09-18 22:11:58
105,4,Patriots to Win,weekly,12500,116,14500,miss,2,2023-09-16 21:52:29,2023-09-18 22:12:00
106,4,Panthers +3,weekly,12500,-102,12255,push,2,2023-09-16 21:52:29,2023-09-19 02:57:27
107,4,Steelers +2.5,weekly,12500,-115,10870,hit,2,2023-09-16 21:52:29,2023-09-19 03:44:31
108,4,"Parlay: Rams +7, Rams/Niners U 44.5",weekly,12500,272,34000,miss,2,2023-09-16 21:52:29,2023-09-18 22:12:09
109,4,Texans to win,weekly,12500,106,13250,miss,2,2023-09-16 21:52:29,2023-09-18 22:12:10
110,3,Minnesota +6.5,weekly,10000,-120,8333,hit,2,2023-09-16 21:52:29,2023-09-18 22:15:06
111,3,Green Bay -1.5,weekly,10000,100,10000,miss,2,2023-09-16 21:52:29,2023-09-18 22:06:38
112,3,Buffalo -9.5,weekly,10000,-110,9091,hit,2,2023-09-16 21:52:29,2023-09-18 22:06:42
113,3,Cincinnati -3,weekly,10000,-122,8197,miss,2,2023-09-16 21:52:29,2023-09-18 22:06:44
114,3,Indy -1,weekly,10000,-110,9091,hit,2,2023-09-16 21:52:29,2023-09-18 22:06:52
115,3,NY Giants -4.5,weekly,10000,-110,9091,miss,2,2023-09-16 21:52:29,2023-09-18 22:07:02
116,3,New Orleans -3,weekly,10000,-115,8696,push,2,2023-09-16 21:52:29,2023-09-19 02:51:59
117,3,Steelers +2.5,weekly,10000,-115,8696,hit,2,2023-09-16 21:52:29,2023-09-19 03:44:29
118,3,Miami/New England U 46.6,weekly,10000,-110,9091,hit,2,2023-09-16 21:52:29,2023-09-18 22:07:24
119,3,Ravens/Bengals U 46.5,weekly,10000,-110,9091,miss,2,2023-09-16 21:52:29,2023-09-18 22:07:33
120,6,"Vikings +6.5, O 48.5, Hurts O 248.5 Passing Yds, Anytime TD: Hurts, Jefferson",weekly,1000,1247,12470,miss,2,2023-09-16 21:52:29,2023-09-17 01:00:34
121,6,Steelers/Browns U 38.5,weekly,5000,-110,4545,miss,2,2023-09-16 21:52:29,2023-09-19 03:44:52
122,5,Commanders +3.5,weekly,10000,-110,9091,hit,2,2023-09-16 21:52:29,2023-09-18 22:15:37
123,5,Jets + 8.5,weekly,10000,-105,9524,miss,2,2023-09-16 21:52:29,2023-09-18 22:12:20
124,5,Jared Goff O 1.5 Passing TDs,weekly,15000,-148,10135,hit,2,2023-09-16 21:52:29,2023-09-18 22:12:36
125,5,Tyler Lockett Alt Rec Yards 70+,weekly,15000,158,23700,miss,2,2023-09-16 21:52:29,2023-09-18 22:12:43
126,5,Josh Allen O 1.5 Passing TDs,weekly,15000,-158,9494,hit,2,2023-09-16 21:52:29,2023-09-18 22:12:45
127,5,McCaffery O 29.5 Receiving Yards ,weekly,15000,-114,13158,miss,2,2023-09-16 21:52:29,2023-09-18 22:13:11
128,5,"Parlay Rushing Yards: Tannehill U 9.5, Jordan Love O 11.5",weekly,20000,252,50400,miss,2,2023-09-16 21:52:29,2023-09-18 22:13:30
129,2,Green Bay to win,weekly,30000,114,34200,miss,2,2023-09-17 01:12:05,2023-09-18 22:07:38
130,2,Anytime TD: Bijan Robinson,weekly,5000,120,6000,miss,2,2023-09-17 01:12:05,2023-09-18 22:08:06
131,2,Jordan Love O 1.5 TDs,weekly,5000,142,7100,hit,2,2023-09-17 01:12:05,2023-09-18 22:08:10
132,2,"Anytime TD: Allgeier, Doubs",weekly,5000,804,40200,miss,2,2023-09-17 01:12:05,2023-09-18 22:08:18
133,2,"Parlay: Seahawks/Lions U 47.5, Raiders/Bills U 47.5 ",weekly,5000,256,12800,miss,2,2023-09-17 01:12:05,2023-09-18 22:08:35
134,2,Anytime TD: Anthony Richardson,weekly,15000,160,24000,hit,2,2023-09-17 01:12:05,2023-09-18 22:08:49
135,2,"Parlay: Colts to win, Ravens to win",weekly,10000,388,38800,hit,2,2023-09-17 01:12:05,2023-09-18 22:08:54
136,2,Saints -3,weekly,15000,-106,14151,push,2,2023-09-17 01:12:05,2023-09-19 02:52:06
137,2,Anytime TD: Kendrick Bourne,weekly,5000,230,11500,miss,2,2023-09-17 01:12:05,2023-09-18 22:09:11
138,2,Amon-Ra St. Brown Alt Rec. Yds 80+,weekly,5000,106,5300,hit,2,2023-09-17 01:12:05,2023-09-18 22:09:25
139,6,Green Bay +1.5,weekly,4000,114,4560,hit,2,2023-09-17 17:10:00,2023-09-18 22:15:11
140,6,Chargers To Win,weekly,10000,-146,6849,miss,2,2023-09-17 17:10:00,2023-09-18 22:10:00
141,6,Baltimore +3,weekly,10000,-104,9615,hit,2,2023-09-17 17:10:00,2023-09-18 22:15:31
142,6,Broncos -3.5,weekly,10000,-110,9091,miss,2,2023-09-17 17:10:00,2023-09-18 22:10:17
143,6,Jets to win,weekly,10000,350,35000,miss,2,2023-09-17 17:10:00,2023-09-18 22:10:23
144,6,Kansas City -3.5,weekly,10000,-105,9524,hit,2,2023-09-17 17:10:00,2023-09-18 22:10:26
145,6,Detroit -4.5,weekly,10000,-110,9091,miss,2,2023-09-17 17:10:00,2023-09-18 22:10:28
146,6,Miami/New England O 46.5,weekly,10000,-110,9091,hit,2,2023-09-17 17:10:00,2023-09-18 22:10:46
147,6,"Allen, Herbert, and Mahomes to combine for 7+ Passing TDs",weekly,2000,115,2300,hit,2,2023-09-17 17:10:00,2023-09-18 22:11:24
148,6,"Parlay: O 24.5 for Bengals, Anytime TD: Lamar Jackson, Jamarr Chase",weekly,1000,557,5570,miss,2,2023-09-17 17:10:00,2023-09-18 22:11:31
149,6,"Parlay: GB to win, O 40.5, Anytime TD: AJ Dillion, Bijan Robinson",weekly,1000,1024,10240,miss,2,2023-09-17 17:10:00,2023-09-18 22:11:33
150,6,Saints/Panthers O 39.5,weekly,6000,-115,5217,miss,2,2023-09-17 17:10:00,2023-09-19 02:58:04
151,6,Giants -4.5,weekly,10000,-102,9804,miss,2,2023-09-18 22:02:12,2023-09-18 22:11:39
